Région,Département,Type d'établissement,Association / Fondation,Nom de l'établissement,Capacité,Descrption
Normandie,Eure,Hébergement,Apprentis d'Auteuil,MECS Saint-Sébastien I Apprentis d'Auteuil,28.0,La MECS St Sébastien accueille 28 jeunes garçons et filles de 11 à 21 ans sur les lieux d’hébergement
Centre Val de Loire,Eure et Loir,Hébergement,Apprentis d'Auteuil,MECS Notre-Dame d'Avenir I Apprentis d'Auteuil,58.0,Accueil de garçons de 16 à 21 ans
Bretagne,Finistère,Placement Familial,Association Don Bosco,Placement Familial Spécialisé I Association Don Bosco,58.0,"Le Placement Familial Spécialisé de l’Association Don Bosco est habilité par le Conseil Départemental du Finistère pour accompagner des enfants et adolescents, âgés de 0 à 18 ans, accueillis chez des assistants familiaux."
Normandie,Seine Maritime,Hébergement,Apprentis d'Auteuil,MECS Providence-Miséricorde I Apprentis d'Auteuil,58.0,"MECS Providence-Miséricorde comprend aujourd'hui la maison d'enfants, qui accueille 50 jeunes de 3 à 20 ans, et le dispositif de Soutien pour le Maintien à Domicile (SMD), dans lequel 12 jeunes sont accompagnés par les éducateurs en restant au sein de leur famille."
Grand Est,Moselle,Hébergement,CMSEA,Service Accompagnement et Insertion MNA I CMSEA,45.0,"(15 appartements diffus sur Metz)

Il s'adresse actuellement à 45 mineurs non accompagnés de toutes origines"
Hauts de France,Pas de Calais,Hébergement,SOS Villages d'Enfants,Village d'Enfants de Calais I SOS Villages d'Enfants,52.0,"Capacité théorique d’accueil : 52 enfants 
0-5ans : 2
6-10ans : 17
11-14ans : 21
15-17ans : 7
Jeunes Majeurs : 3"
Ile de France,Val d'Oise,Hébergement,Apprentis d'Auteuil,MECS Saint-Jean I Apprentis d'Auteuil,59.0,"Des unités de vie de 12 à 13 jeunes en chambres simples ou individuelles
Une MECS implantée sur un grand site verdoyant de 18 hectares avec 3 établissements scolaires et des internats de prévention "
Hauts de France,Aisne,Hébergement,Action Enfance,Village d'Enfants de Soissons I Action Enfance,66.0,"Equipes par unité de vie : 5 éducateurs, une maitresse de maison et un surveillant de nuit, répartis sur 11 maisons"
Normandie,Eure,Hébergement,Moissons Nouvelles,MECS d'Evreux I Moissons Nouvelles,60.0,"De nombreuses infrastructures à disposition des équipes : gymnase, city stade, parc accrobranche "
Occitanie,Haute Garonne,Hébergement,ASPE2A,Dispositif d'Hébergement I ASPE2A,60.0,Une MECS implantée sur un grand site verdoyant de 18 hectares avec 3 établissements scolaires et des internats de prévention 
Occitanie,Haute Garonne,Placement Familial,ASPE2A,Accueil Familial I ASPE2A,60.0,60 personnes placées en accueil familial
Occitanie,Haute Garonne,Hébergement,Arseaa,MECS Saint-Joseph I Arseaa,60.0,"44 places en hébergement collectif (4 groupes répartis par tranches d'âges) ;
13 places en dispositif d'accueil à domicile."
Nouvelle Aquitaine,Gironde,Hébergement,ADGESSA,Service d'accueil MNA I ADGESSA,60.0,60 Mineurs
Centre Val de Loire,Indre et Loire,Hébergement,Action Enfance,Village d'Enfants Amboise I Action Enfance ,60.0,"L’établissement accueille au sein de 6 maisUn dispositif d’accueil pour adolescents en situation complexes (6 places)
Un accueil adolescents en semi-autonomie (12 places) et autonomie (6 places).
Le dispositif de semi-autonomie a une capacité d’accueil de 12 jeunes, en appartements partagés. Dans l’un des appartements, l’équipe éducative se relaie selon le même principe que dans une maison en Village. Ces appartements sont situés à l’entrée du Village d’Amboise, dans un espace distinct et bien délimité. Les jeunes accueillis en autonomie logent dans des appartements en ville, et sont accompagnés par les éducateurs en charge également de la semi-autonomie.
Au total, le Village a une capacité totale de 60 enfants et adolescents. 0 à 18 ans."
Auvergne Rhône Alpes,Isère,Hébergement,Apprentis d'Auteuil,MECS Jean-Marie Vianney I Apprentis d'Auteil,60.0,"Située à La Côte Saint André (38), la maison d'enfants à caractère social (MECS) Jean-Marie Vianney accueille tout au long de l'année jusqu'à 60 garçons et filles âgés de 12 à 18 ans confiés par l'Aide Sociale à l'Enfance ou le Juge des Enfants dans le cadre de mesures de protection de l'enfance et d'assistance éducative."
Centre Val de Loire,Loir et Cher,AEMO,Moissons Nouvelles,Service d'Accompagnement à l'éducation I Moissons Nouvelles,60.0,"Nombre de places : 60
0-17ans et mixte"
Hauts de France,Nord,Hébergement,SOS Villages d'Enfants,Village d'enfants SOS de Neuville I SOS Villages d'Enfants,60.0,60 enfants (55 enfants sur l’effectif du village d’enfants SOS et 5 sur l’effectif du SAFI)
Hauts de France,Nord,Hébergement,SOS Villages d'Enfants,Village d'Enfants SOS Busigny I SOS Villages d'Enfants,60.0,"Capacité théorique d’accueil : 60 enfants
<6ans : 6
6-10ans : 21
11-15ans : 20
16-17: 7"
Normandie,Orne,Hébergement,La Maison Maternelle,MECS Château Glaye I La Maison Maternelle ,60.0,". Elle accueille 60 enfants de 3 à 18 ans en difficulté (familiale, éducative, scolaire, sociale,…). Si certains rentrent chez eux le week-end et pendant les vacances scolaires, la plupart résident toute l’année dans le château."
Ile de France,Essone,Hébergement,Action Enfance,Village d'Enfants Les Vignes I Action Enfance,60.0,"Les Vignes accueillera d’ici fin 2023 60 enfants de 0 à 18 ans sur 10 maisons, en attendant la construction de son futur écoVillage en Essonne."
Ile de France,Essone,Hébergement,Action Enfance,Village d'Enfants de Villabé I Action Enfance,60.0,"12 maisons accueillent 60 enfants âgés de 0 à 18 ans, garçons et filles."
Ile de France,Seine Saint Denis,Hébergement,Groupe SOS Jeunesse,ITEP Le Petit Prince I Groupe SOS Jeunesse,60.0,"Le Petit Prince accueille des enfants, adolescents, garçons et filles, âgés de 6 à 20 ans présentant des difficultés psychologiques dont l’expression, notamment l’intensité des troubles du comportement, perturbe la socialisation et l’accès aux apprentissages."
Ile de France,Val de Marne,Placement à Domicile,Asso Jean Cotxet,ADOPHE 94 (Accompagnement à Domicile avec Possibilité d'Hébergement) I Asso Jean Cotxet,60.0,"Une équipe pluriprofessionnelle accompagne 60 jeunes maintenus dans leurs familles, âgés de 0 à 17 ans, bénéficiant de mesures éducatives ordonnées par le juge des enfants pour une durée de 6 mois renouvelable une ou deux fois. Un repli temporaire en foyer ou en famille d’accueil est organisé en cas de crise au domicile."
Ile de France,Val d'Oise,Placement à Domicile,La VAGA,Service d'accueil modulable DAM I La VAGA,60.0,Accompagnement éducatif et social dans le cadre d’une mesure de placement à domicile.
PACA,Bouches du Rhône,Hébergement,SOS Villages d'Enfants,Village d'enfants SOS de Marseille I SOS Villages d'Enfants ,61.0,"Nombre de maisons :
10 maisons familiales
la maison commune
2 appartements
Capacité théorique d’accueil : 55 enfants ;
Nombre d’enfants accueillis : 61"
Auvergne Rhône Alpes,Savoie,Hébergement,Les Etoiles d'Hetia,MECS L'Arlequin I Les Etoiles d'Hetia,61.0,"Les groupes d’internat compte 31 places et s'adressent à un public mixte, âgé de 13 à 21 ans :

La Vinouva, à Montmélian, est en mesure d'accueillir 11 jeunes, dont 4 sur des hébergements de type studio,

L'Arlequin, à Montmélian, pour une capacité d'accueil de 11 jeunes en chambres individuelles ainsi qu'un appartement pour une colocation de 3 personnes,

Barby, situé à Barby, pour une capacité d'accueil de 9 jeunes en chambres, individuelles et doubles, ainsi qu'un appartement situé sur Montmélian pour une collocation de 2 personnes.

La mission de ces groupes d'internats est multiface : mise en protection des jeunes accueillis et travail sur leur autonomie, accompagnement individualisé et familial, accompagnement autour de la formation professionnelle, etc

 Le SESAME, un dispositif capable d'accueillir 30 jeunes en appartements. Les hébergements sont situés entre Montmélian et Aix-les-Bains. Les jeunes reçoivent une aide humaine visant à développer leur autonomie. Ils acquièrent ainsi des compétences leur permettant de maitriser une bonne partie des démarches administratives essentielles à la vie en société auprès d'organismes comme la CAF ou encore Pôle Emploi                                                                             Le SEMOH (Service Éducatif en Milieu Ouvert avec Hébergement) pour une capacité d'accueil de 30 jeunes."
Nouvelle Aquitaine,Lot et Garonne,Hébergement,ALGEEI,MECS Notre Maison I ALGEEI,62.0,"Enfants, adolescents et jeunes majeurs de 0 à 21 ans."
Grand Est,Meurthe et Moselle,Hébergement,SOS Villages d'Enfants,Village d'Enfants de Marange-Silvange I SOS Villages d'Enfants,62.0,"Village d’enfants SOS regroupé (plus 1 pavillon un peu excentré) ;
62 enfants accueillis, soit 20 fratries,  11 maisons"
Hauts de France,Somme,Hébergement,ADSEA82,MECS La Clairière I ADSEA80,62.0,"INTERNAT (filles) : 36 Places de 6 à 20ans -    Les Gazelles       6-13 ans (SEES effectif 12)
-    Les Lilas            14-16 ans (SIPFP effectif 12)
-    L’Arc en ciel     15-20 ans (SIPFP effectif 12)
EXTERNAT (Mixte) : 26 Places 6 à 20ans -    Les Aventuriers 6-14 ans (SEES effectif 12)
-    L’Arc en ciel      14-20 ans (SIPFP effectif 14)"
Bourgogne Franche Comté,Yonne,Hébergement,Département de l'Yonne,Foyer Départemental I Département de l'Yonne,63.0,Accueil Jeunes Mixtes
Occitanie,Hérault,Hébergement,Action sociale,MECS de Baldy ,64.0,Accueil jeunes mixtes
Pays de la Loire,Loire Atlantique,Hébergement,Moissons Nouvelles,ITEP La Papotière I Moissons Nouvelles,64.0,"64 (46 en internat et 18 en semi-internat) + 2 accueils temporaires
14-20ans. Mixte"
Ile de France,Hauts de Seine,Hébergement,La VAGA,AE Courbevoie I La VAGA,64.0,L’établissement accueille 64 jeunes de 13 à 18 ans.
Ile de France,Val d'Oise,Placement Familial,La VAGA,AE I La VAGA,66.0,Un accueil familial spécialisé de 66 places permettant la mise en œuvre de l’accompagnement d’enfants et de jeunes de la naissance à 21 ans. Les rencontres en présence d’un tiers et plus principalement les visites médiatisées sont réalisées par l’équipe psycho-éducative.
Bourgogne Franche Comté,Cote d'Or,Placement à Domicile,PEP,PAD I PEP,67.0,"Les enfants (0-18 ans) restent hébergés au domicile familial et le SAPSAD intervient auprès des familles dans le but de protéger les mineurs, préserver le lien quotidien parents/enfants, aider, soutenir et conseiller la famille en s’appuyant sur les compétences de chacun."
Nouvelle Aquitaine,Pyrénées Atlantiques,Hébergement, PEP 64,MECS Upaes I PEP 64,42.0,"Hébergement collectif 18
Hébergement diversifié 24"
Grand Est,Haut Rhin,Hébergement,ARSEA,AE La Ferme I ARSEA,67.0,"accompagne 67 garçons, en internat et accueil de jour, et filles, en accueil de jour, de 8 à 18 ans et jeunes majeurs."
Ile de France,Val d'Oise,Hébergement,Apprentis d'Auteuil,MECS Jacques Laval I Apprentis d'Auteuil,67.0,Accueil de garçons de 15 à 21 ans Service d'accompagnement vers l'insertion (location d'appartements de la MECS) pour garçons de 18 à 21 ans
Centre Val de Loire,Indre et Loire,Placement à Domicile,Sauvegarde 43,PàD I Sauvegarde 37,68.0,mesure de placement d’un enfant dans le cadre d’un accueil provisoire
Occitanie,Pyrénées Orientales,Hébergement,Apprentis d'Auteuil,MECS Saint-Jordi I Apprentis d'Auteuil,69.0,Jeunes de 3 à 21ans 
Ile de France,Seine Saint Denis,Accompagnement,Groupe SOS Jeunesse,AE I Groupe SOS Jeunesse,78.0,"La structure est destinée à des filles et des garçons âgés de 15 ans et plus, confiés au service de l’ASE de Seine-Saint-Denis par décision judiciaire, pour les mineurs, et en contrat jeune majeur pour les 18-21 ans. Les jeunes sont accueillis en journée sur les unités d’accueil de jour éducatif et sur le pôle Ressources.
"
Centre Val de Loire,Indre et Loire,Hébergement,Sauvegarde 38, Maison Jeunes Enfants I Sauvegarde 37,70.0,"Les jeunes de 3 à 10 ans, présentant une altération grave de leur état somatique, psychique et de leur développement."
Pays de la Loire,Mayenne,Hébergement,INALTA,MECS 53 I INALTA,70.0,"accueille 70 adolescents, filles et garçons âgé(e)s de 13 à 18 ans."
Ile de France,Yvelines,Hébergement,SOS Villages d'Enfants,Village d'Enfants de Plaisir I SOS Villages d'Enfants,70.0,"Village d’enfants SOS intégré dans un lotissement de 300 logements prévus pour des familles nombreuses.
0-5ans : 8
6-10ans : 18
11-14ans : 11
15-17ans : 9
Jeunes Majeurs : 4"
Nouvelle Aquitaine,Vienne,Hébergement,Salvert,Maison d'Enfants de Salvert I Salvert,70.0,"Dans les maisonnées, les âges de 4 à 18 ans sont représentés. Dans le cadre d'un Contrat Jeune Majeur, certains jeunes peuvent même être accueillis jusqu'à l'âge de 21 ans."
Centre Val de Loire,Loir et Cher,Hébergement,ACESM,MECS La Merisaie I APAJH 41 ,71.0,"	
71 places dont 50 places en Internat et 21 places en Dispositif d’Accompagnement à la Parentalité au Placement (DAPP)"
PACA,Var,Placement à Domicile,Moissons Nouvelles,PAD de Meinado I Moissons Nouvelles,71.0,"Nombre de places : 71
0-18ans. Mixte"
Nouvelle Aquitaine,Corrèze,Hébergement,Fondation Claude Pompidou,MECS Les Monédières I Fondation Claude Pompidou,72.0,72 places d’hébergement en internat
Auvergne Rhône Alpes,Isère,Accueil de jour,Le Prado, AJ Le Nid I Le Prado,72.0,Valeur par défaut
Ile de France,Essone,Hébergement,Apprentis d'Auteuil,Village d'Enfants de Ballancourt I Action Enfance,73.0,"Le Phare accueille 73 enfants et adolescents, prioritairement domiciliés dans le département de l’Essonne, dans le cadre de la Protection de l’enfance"
Nouvelle Aquitaine,Corrèze,Hébergement,Institut Don Bosco,MNA 19 Tulle I Institut Don Bosco ,75.0,"75 jeunes mineurs étrangers dits Mineurs Non-Accompagnés (MNA), âgés de 14 à 21 ans."
Bourgogne Franche Comté,Jura,Placement à Domicile,La VAGA,AE I La VAGA,98.0,"1 service de placement éducatif à domicile (PEAD) pour 75 enfants répartis sur 4 antennes locales : Lons-Le-Saunier, Dole, Saint-Claude et Arbois."
Grand Est,Meurthe et Moselle,Centre Educatif,Association REALISE,Service Educatif Renforcé de Nancy I Association REALISE ,75.0,75 adolescent(e)s âgé(e)s de 13 à 18 ans suivis chaque année
Ile de France,Essone,Hébergement,Asso Olga Spitzer,ITEP Le Petit Sénart I Asso Olga Spitzer,75.0,"L’accueil en internat se fait sur le site du « Petit Sénart » à Tigery (48 garçons), sur le pavillon de Ris Orangis (8 garçons et adolescents), sur le pavillon de Brunoy (8 filles et adolescentes), à la Villa Rossini à Evry (enfants âgés de 6 à 9 ans).
L’accueil en externat se fait sur le site du « Petit Sénart » à Tigery (26 garçons et filles)."
Centre Val de Loire,Indre et Loire,Hébergement,Apprentis d'Auteuil,Loches | Etablissements sociaux MECS I Apprentis d'Auteuil,76.0,"Les garçons et les filles accueillis sont âgées de 0 à 21 ans, seuls ou en fratrie, et sont confiés par les services de l’Aide Sociale à l’Enfance du département d’Indre et Loire uniquement."
Ile de France,Paris,Hébergement,Asso Jean Cotxet,MECS Maison du Sacré Coeur I Asso Jean Coxtet,77.0,"6 à 21 ans sur 8 lieux de vie : L’Espace Cortot : 7 jeunes âgés de 14 de 14 à 18 ans, Les Studios: 6 adolescents et jeunes adultes à partir de 17 ans, le groupe Accueil Séquentiel: 14 jeunes âgés de 6 à 15 ans, les groupes D1 et D2 : 2×10 jeunes âgés de 6 à 12 ans. le groupe C: 10 jeunes âgés de 12 à 18 ans, Le groupe B: 10 jeunes âgés de 6 à 18 ans, Le groupe A (Pavillon Ward) : 10 jeunes âgés de 15 à 18 ans,"
Centre Val de Loire,Eure et Loir,Hébergement,Apprentis d'Auteuil,MECS Notre-Dame du Thieulin I Apprentis d'Auteuil,78.0,"Accueil de 72 jeunes dans 3 unités de vies, seuls ou en fratrie (garçons et filles d'âge primaire, garçons d'âge collège, fratries garçons et filles d'âge primaire et collège)"
Occitanie,Lot,Hébergement,Apprentis d'Auteuil,MECS La Providence I Apprentis d'Auteuil,50.0,accueillir 78 enfants et adolescents âgés de 3 à 21 ans
Pays de la Loire,Loire Atlantique,Hébergement,La VAGA,AE Loire-Atlantique I La VAGA,79.0,"79 adolescents de 12 à 21 ans, en situation complexe."
Grand Est,Meurthe et Moselle,Hébergement,La VAGA,AE du Pays Haut I La VAGA,79.0,"79 enfants et adolescents de 0 à 18 ans au travers trois modalités d’accompagnement constituées de maisons d’enfants à caractère social, d’un placement familial et d’un service éducatif de placement à domicile."
Grand Est,Moselle,Hébergement,Moissons Nouvelles,MECS de Rémilly I Moissons Nouvelles,79.0,"79 dont 3 places pour des accueils conjoncturels
3-18ans. Mixte"
Auvergne Rhône Alpes,Haute Savoie,Hébergement,MDEF,Foyer Melan I MDEF (Département),80.0,Jeunes enfants mixtes jusque 21ans
Pays de la Loire,Maine et Loire,Hébergement,Apprentis d'Auteuil,MECS Saint-Nicolas I Apprentis d'Auteuil,62.0,"62 places en hébergement pour jeunes de 4 à 18 ans (4 à 14 ans, 10 à 15 ans et plus), accompagne près de 180 situations"
Grand Est,Bas Rhin,Hébergement,Apprentis d'Auteuil,MECS Saint-François d'Assise I Apprentis d'Auteuil,81.0,"Les pavillons fratries, hébergent des frères et sœurs afin de leur offrir l'opportunité d'être rassemblés le temps du placement. Un pavillon indépendant accueillent des adolescentes. Un accueil séquentiel est également proposé alternant le domicile et le foyer. Un service de placement à domicile chargé de suivre 43 situations"
Ile de France,Yvelines,Hébergement,La VAGA,AE Auffargis I La VAGA,52.0,"1 maison d’enfants à Auffargis et Rambouillet, pour 44 enfants en 4 unités de vie.
1 appartement pour 4 jeunes majeurs.
1 service de semi-autonomie pour 4 jeunes.                                            jeunes de la naissance à 21 ans. "
Nouvelle Aquitaine,Gironde,Hébergement,ADGESSA,MECS de Gironde I ADGESSA,84.0,"La MECS propose un hébergement en internat de 84 enfants, adolescents et jeunes adultes, de 3 à 21 ans"
Pays de la Loire,Loire Atlantique,Hébergement,Apprentis d'Auteuil,MECS Daniel Brottier I Apprentis d'Auteuil,84.0,"accueille et accompagne des jeunes, garçons et filles, âgés de 11 à 21 ans"
Hauts de France,Somme,Hébergement,ADSEA81,MECS Péronne I ADSEA80,84.0,accompagnement de jeunes de 14 à 20 ans pour soutenir leur inclusion scolaire et préprofessionnelle. l’IME comptera alors 40 places et l’ITEP 44. 
Grand Est,Moselle,Hébergement,CMSEA,Maison d'accueil I CMSEA,85.0,"Sa mission consiste à proposer une expérimentation d'un hébergement individuel pour développer l'autonomie des adolescents, âgés de 16 à 18 ans, en difficultés sociales"
Ile de France,Paris,Hébergement,Moissons Nouvelles,MECS de Paris I Moissons nouvelles,85.0,"Jeunes de 6 à 21 ans, relevant prioritairement du département de Paris mais également des départements limitrophes et principalement du 93."
Grand Est,Ardennes,Hébergement,Groupe SOS Jeunesse,MECS de Sedan I Groupe SOS Jeunesse,89.0,"L'établissement accueille 89 Ardennais, filles et garçons, âgés de 3 à 21 ans, et confiés par les services de l’Aide Sociale à l’Enfance."
Normandie,Calvados,Hébergement,Apprentis d'Auteuil,MECS Saint-Jean Eudes I Apprentis d'Auteuil,54.0,L’hébergement collectif : il est constitué de 2 groupes mixtes d’adolescents de 22 jeunes. L’établissement dispose de 8 studios individuels mitoyens et deux studios à Lisieux et alentours                                                                    8 à 21 ans
Ile de France,Seine et Marne,Hébergement,Apprentis d'Auteuil,MECS Claire d'Assise I Apprentis d'Auteuil,89.0,"Le service d’accueil et de socialisation : Deux pavillons filles et un pavillon garçons disposent de 24 places pour accueillir des jeunes âgés de 12 à 17 ans.
Le service d’accueil modulable : 24 jeunes âgés de 12 à 18 ans, peuvent être accueillis du lundi au samedi. L’équipe éducative intervient dans le cadre de visites à domicile, autour de trois missions principales : prévenir le placement, préparer le placement ou accompagner le retour du jeune après un placement.
Le service de pré-insertion : 11 jeunes, garçons et filles de 16 à 19 ans, sont accueillis dans un pavillon.
Le service des majeurs : 15 jeunes bénéficiant d’un contrat jeune majeur sont logés dans des studios ou appartements partagés."
Bourgogne Franche Comté,Doubs,Hébergement,AHS,AE Mineurs NA I AHS,100.0,"Deux Dispositifs pour Mineurs Non Accompagnés (DMNA) assurent l'accueil, l'hébergement et l'accompagnement social et administratif des Mineurs Non Accompagnés et des jeunes majeurs dans le cadre de leur prise en charge par les services de l’Aide Sociale à l’Enfance. Le DMNA 25, ouvert en janvier 2014 suite à un conventionnement avec le Département du Doubs est autorisé depuis septembre 2016 pour 62 places réparties entre Besançon et Pontarlier. Le DMNA 70, ouvert en mars 2015 suite à un conventionnement avec le Département de Haute-Saône, est autorisé depuis juillet 2018 pour 38 places."
Centre Val de Loire,Loiret,Placement à Domicile,La VAGA,AE du Montargois I La VAGA,90.0,1 service de placement à domicile à Villemandeur pour 90 enfants de 0 à 17 ans à l’admission.
Bourgogne Franche Comté,Nièvre,Hébergement,Groupe SOS Jeunesse,Village d'Enfants Pierre et Paule Saury I Groupe SOS Jeunesse ,90.0,"Notre établissement, rattaché au groupe SOS Jeunesse, accueille, dans le cadre de la protection de l’enfance, des mineurs et jeunes adultes de 0 à 21 ans 365j/365j."
Ile de France,Val de Marne,Hébergement,Apprentis d'Auteuil,MECS Sacré-Coeur I Apprentis d'Auteuil,95.0,"Trois internats : 
L’unité de vie Dominique Savio à Choisy-le-Roi : 27 places, mixte, 14 à 18 ans
L’unité de vie Cèdre à Thiais : 18 places, garçons, 14 à 18 ans
L’unité de vie Abbé Pierre à Vitry-sur-Seine : 14 places, garçons, 14 à 18 ans
Un service d'accueil d'urgence dont la principale mission est d'accueillir toute l’année, 24h/24, des jeunes admis au titre de la protection de l’enfance 
L’unité de vie Madeleine Delbrêl à Thiais : 9 places, mixte, 14 à 18 ans x
Un service d'accompagnement de jeunes majeurs dont la principale mission est de rendre les jeunes autonomes dans leur vie quotidienne et complètement indépendants à l’issue de leur contrat « Jeune majeur »
Appartements partagés et studios à Thiais, Orly et Vitry-sur-Seine : 14 places, mixte, 18 à 21 ans "
Normandie,Calvados,Hébergement,Moissons Nouvelles,Dispositif d'accueil MNA I Moissons Nouvelles,100.0,"Nombre de places : 100 places
14-21ans
Garçons uniquement"
Bretagne,Finistère,Hébergement,Association Don Bosco,MECS Etrangers I Association Don Bosco,100.0,"Ce Dispositif d’Accompagnement des Mineurs et Majeurs Isolés Étrangers a ouvert ses portes au centre-ville de Brest en 2013. Il est habilité par le Conseil Départemental du Finistère, pour l’accueil de 100 jeunes mineurs et majeurs, garçons et filles, âgés de 15 à 21 ans."
Occitanie,Gard,Hébergement,Association Coste,MECS Coste I Association Coste,100.0,accueille des garçons et des filles âgées de 3 à 21 ans
Grand Est,Moselle,Placement Familial,CMSEA,Service de placement familial I CMSEA,100.0,"Le service est habilité pour l'accueil de 100 enfants, des deux sexes, âgés de 0 à 18 ans."
Bourgogne Franche Comté,Saône et Loire,Centre Educatif,Prado Bourgogne,Placement Educatif I Prado Bourgogne,100.0,"100 places en mixité, dont 2 au titre de l’accueil d’urgence, pour des adolescents de 16 à 18 ans et jeunes majeurs
répartis entre des appartements éducatifs et des studios,

situés sur le secteur de Montceau Les Mines et Mâcon et Le Creusot."
Hauts de France,Somme,Hébergement,ADSEA80,MNA I ADSEA80,25.0,Valeur par défaut
Hauts de France,Aisne,Hébergement,Association AJP,AE Mineurs Non accompagnés I Association AJP,102.0,"102 adolescents âgés de 14 à 17 ans, dont 54 à Saint-Quentin et 48 dans le bassin Chaunois"
Bourgogne Franche Comté,Cote d'Or,Hébergement,ACODEGE,Service d'accueil familial I ACODEGE,90.0,"Le service accueille et accompagne 90 jeunes, âgés de 0 à 18 ans, dans le cadre de mesures d’assistance éducative (mesures judiciaires) ou d’accueils provisoires (mesures administratives). Une place d’accueil d’urgence est réservée sur ce service."
Ile de France,Hauts de Seine,Hébergement,La VAGA,AE Chatenay Malabry I La VAGA,24.0,1 service individualisé et diversifié (SID) à Bourg-la-Reine pour 24 jeunes de 17 à 21 ans.
Nouvelle Aquitaine,Gironde,Hébergement,Apprentis d'Auteuil,MECS Saint-Joseph I Apprentis d'Auteuil,106.0,accueillir 106 enfants et jeunes âgés de 5 à 21 ans
Nouvelle Aquitaine,Gironde,Hébergement,Institut Don Bosco,MECS Don Bosco I Institut Don Bosco,6.0,"Proposer un accueil et un accompagnement à même d’apaiser les troubles du comportement
Baliser un parcours sans rupture pendant et après l’accompagnement
Soutenir la parentalité dès lors que ce travail est possible"
Centre Val de Loire,Eure et Loir,Hébergement,Apprentis d'Auteuil,MECS Notre-Dame des Vaux I Apprentis d'Auteuil,109.0,La MECS Notre-Dame des Vaux accueille 109 garçons et filles de 13 à 18 ans scolarisés notamment dans les établissements Notre Dame au château des Vaux.
Ile de France,Val de Marne,Hébergement,La VAGA,AE de Cachan I La VAGA,114.0,"3 unités de vie à Villejuif, Chevilly-Larue et l’Hay-les-Roses pour 30 enfants.
1 service de semi-autonomie avec 4 appartements partagés et 12 studios pour 24 jeunes.
1 service d’accueil modulable pour 60 situations."
Nouvelle Aquitaine,Charente Maritime,Hébergement,Institut Don Bosco,MNA Charente-Maritime I Institut Don Bosco,115.0,"dispositif d’hébergement et d’accompagnement pour 115 Mineurs Non Accompagnés (MNA), âgés de 14 à 18 ans, dans le département de la Charente-Maritime."
Auvergne Rhône Alpes,Haute Savoie,Hébergement,Fondation Cognacq-Jay,MECS I Fondation Cognacq-Jay ,116.0,Filles et garçons de 3 à 21 ans
Ile de France,Hauts de Seine,Hébergement,Apprentis d'Auteuil,MECS Saint Philippe I Apprentis d'Auteuil,120.0,"Accueil de garçons de 12 à 18 ans,  3 unités de vie"
Ile de France,Hauts de Seine,Hébergement,Apprentis d'Auteuil,MECS l'Annonciation I Apprentis d'Auteuil,30.0,Accueil des jeunes filles âgées de 16 à 21 ans
Occitanie,Aude,Hébergement,Le Rayon de Soleil,MECS Rayon de soleil I Association Le Rayon de Soleil,12.0,"Accueil de 12 Adolescents ou jeunes majeurs Maquens. (Collectif, Studios semi-autonomie, studios extérieurs, alternat)"
PACA,Bouches du Rhône,Hébergement,Apprentis d'Auteuil,MECS Saint-François-de-Sales I Apprentis d'Auteuil,125.0,"accueille 125 jeunes, garçons et filles 12 à 18 ans et plus. Capacité 75 Fratries acceptées
Accessibilité transport en commun"
Grand Est,Hauts de Seine,Accueil de jour,ALEFPA,Internat I ALEFPA,12.0,"Le SAJE est destiné à accueillir 12 jeunes, garçons ou filles, âgés de 11 à 16 ans. Le SAJE est installé au 18 rue de Prony à Asnières"
Hauts de France,Nord,Hébergement,Apprentis d'Auteuil,MEC Saint-Jacques I Apprentis d'Auteuil,135.0,"La MECS se répartit sur 6 sites et dispose de 147 places dont 11 en Accueil de jour, 6 places pour des garçons de 10 à 16 ans, 36 places pour des fratries de 4 à 18 ans, 10 places de filles de 16 à 21 ans (RAP filles à Haubourdin), 36 places en RAP mixité garçons et filles de 16 à 21 ans et 20 places en Intervention Educative à Domicile renforcée."
Auvergne Rhône Alpes,Savoie,Hébergement,La VAGA,AE de Maurienne I La VAGA,160.0,"2 maison d’enfants  accueillant 29 enfants et jeunes majeurs de 3 à 21 ans, à St Jean de Maurienne et Aiguebelle (dont 2 places en hébergement externalisé).
1 service de visites en présence de tiers pour 55 familles.
Lire la suite
1 service d’accompagnement des familles (milieu ouvert) pour 55 mesures modulables avec accueil séquentiel selon le projet de l’enfant sur toute la Maurienne.
1 service de mineurs non accompagnés pour 12 places. "
Ile de France,Seine Saint Denis,Hébergement,Groupe SOS Jeunesse,MNA 93 I Groupe SOS Jeunesse,89.0,"Les jeunes sont hébergés en appartements partagés ou individuels, La structure est destinée à des filles et des garçons âgés de 15 ans et plus, confiés au service de l’ASE de Seine-Saint-Denis par décision judiciaire, pour les mineurs, et en contrat jeune majeur pour les 18-21 ans."
Nouvelle Aquitaine,Gironde,Placement à Domicile,Institut Don Bosco,PEAD I Institut Don Bosco ,168.0,accompagne 168 enfants de 0 à 18 ans
Hauts de France,Oise,Hébergement,Groupe SOS Jeunesse,MECS de Nivilliers I Groupe SOS Jeunesse ,169.0,"169 jeunes, âgés de 12 à 21 ans, garçons et filles."
